40,testnow,2,12:05:09:285,2021-03-10
41,testnow,1,12:05:09:320,2021-03-10
41,testnow,2,12:05:09:320,2021-03-10
42,testnow,2,12:05:09:385,2021-03-10
42,testnow,1,12:05:09:385,2021-03-10
43,testnow,1,12:05:09:462,2021-03-10
43,testnow,2,12:05:09:462,2021-03-10
44,testnow,1,12:05:09:525,2021-03-10
44,testnow,2,12:05:09:525,2021-03-10
45,testnow,2,12:05:09:581,2021-03-10
45,testnow,1,12:05:09:581,2021-03-10
46,testnow,2,12:05:09:652,2021-03-10
46,testnow,1,12:05:09:678,2021-03-10
47,testnow,2,12:05:09:719,2021-03-10
47,testnow,1,12:05:09:719,2021-03-10
48,testnow,1,12:05:09:784,2021-03-10
48,testnow,2,12:05:09:784,2021-03-10
49,testnow,1,12:05:09:849,2021-03-10
49,testnow,2,12:05:09:849,2021-03-10
50,testnow,1,12:05:09:918,2021-03-10
50,testnow,2,12:05:09:918,2021-03-10
51,testnow,2,12:05:09:987,2021-03-10
51,testnow,1,12:05:09:987,2021-03-10
52,testnow,1,12:05:10:054,2021-03-10
52,testnow,2,12:05:10:054,2021-03-10
53,testnow,2,12:05:10:121,2021-03-10
53,testnow,1,12:05:10:121,2021-03-10
54,testnow,2,12:05:10:187,2021-03-10
54,testnow,1,12:05:10:216,2021-03-10
55,testnow,2,12:05:10:253,2021-03-10
55,testnow,1,12:05:10:253,2021-03-10
56,testnow,2,12:05:10:320,2021-03-10
56,testnow,1,12:05:10:320,2021-03-10
57,testnow,2,12:05:10:388,2021-03-10
57,testnow,1,12:05:10:415,2021-03-10
58,testnow,2,12:05:10:455,2021-03-10
58,testnow,1,12:05:10:455,2021-03-10
59,testnow,1,12:05:10:521,2021-03-10
59,testnow,2,12:05:10:521,2021-03-10
60,testnow,2,12:05:10:586,2021-03-10
60,testnow,1,12:05:10:586,2021-03-10
61,testnow,1,12:05:10:657,2021-03-10
61,testnow,2,12:05:10:657,2021-03-10
62,testnow,1,12:05:10:723,2021-03-10
62,testnow,2,12:05:10:723,2021-03-10
63,testnow,1,12:05:10:783,2021-03-10
63,testnow,2,12:05:10:783,2021-03-10
64,testnow,1,12:05:10:852,2021-03-10
64,testnow,2,12:05:10:852,2021-03-10
65,testnow,2,12:05:10:952,2021-03-10
65,testnow,1,12:05:10:952,2021-03-10
66,testnow,2,12:05:11:003,2021-03-10
66,testnow,1,12:05:11:003,2021-03-10
67,testnow,2,12:05:11:054,2021-03-10
67,testnow,1,12:05:11:054,2021-03-10
68,testnow,1,12:05:11:119,2021-03-10
68,testnow,2,12:05:11:143,2021-03-10
69,testnow,1,12:05:11:200,2021-03-10
69,testnow,2,12:05:11:224,2021-03-10
70,testnow,1,12:05:11:254,2021-03-10
70,testnow,2,12:05:11:254,2021-03-10
71,testnow,2,12:05:11:362,2021-03-10
71,testnow,1,12:05:11:362,2021-03-10
72,testnow,1,12:05:11:386,2021-03-10
72,testnow,2,12:05:11:386,2021-03-10
73,testnow,1,12:05:11:472,2021-03-10
73,testnow,2,12:05:11:472,2021-03-10
74,testnow,1,12:05:11:523,2021-03-10
74,testnow,2,12:05:11:523,2021-03-10
75,testnow,1,12:05:11:589,2021-03-10
75,testnow,2,12:05:11:589,2021-03-10
76,testnow,2,12:05:11:659,2021-03-10
76,testnow,1,12:05:11:687,2021-03-10
77,testnow,1,12:05:11:721,2021-03-10
